FirstName,LastName,Pesel,BloodGroup,BloodRhFactor,Amount,Date
Hillie,Bourdon,75539993433,1,0,233,7/8/2018
Wheeler,Heims,97247903398,2,1,492,7/13/2018
Antoine,Arderne,54427329383,2,1,292,9/17/2018
Corissa,MacDunleavy,14022601627,1,0,533,10/3/2018
Alan,Tourner,98610954619,1,0,630,9/15/2018
Elinor,Pebworth,40748304700,1,1,917,9/6/2018
Dore,Oldnall,64857272807,3,1,813,12/29/2018
Rachele,Beckensall,33489068876,3,1,640,9/13/2018
Knox,Tombling,08022309519,2,1,702,8/1/2018
Tildy,Goddard,92845102302,0,1,220,4/8/2019
Cello,Plackstone,98044835040,2,0,603,1/15/2019
Shirlee,Yeld,61203535571,1,0,869,12/3/2018
Ambrosius,Penticoot,67016879672,1,1,541,9/28/2018
Pennie,Toland,61337478208,3,1,478,6/27/2018
Anna-diana,Ternouth,10941716722,0,1,392,3/12/2019
Ange,Camus,89522029710,1,1,475,1/14/2019
Clywd,Glanders,60958995168,1,0,652,3/10/2019
Diannne,Lawry,70180444250,3,0,151,4/15/2019
Jacenta,Baudinelli,82032738232,0,0,129,7/1/2018
Wilden,McKeefry,64221327471,3,0,264,6/17/2018
Ansell,De Gogay,36237317884,1,0,299,11/30/2018
Eugene,Moyes,96571191122,2,0,610,3/25/2019
Denni,Evennett,12136301869,0,1,675,10/14/2018
Netta,McNeil,25746828394,2,1,721,1/1/2019
Vale,Seagrove,83204777473,2,0,261,9/13/2018
Roxy,Shorto,93967768628,0,1,582,7/3/2018
Olive,Dellow,22743649578,1,0,814,7/3/2018
Mellisent,Anyene,14024798811,1,0,709,10/2/2018
Faun,Piscopello,11444202840,0,0,437,2/17/2019
Fowler,Samways,95133510687,0,0,732,9/24/2018
Nikolaus,Younghusband,60045440521,3,0,454,11/5/2018
Tedman,Gopsill,91338736765,2,1,292,6/25/2018
Leeann,Minard,19960334511,0,0,593,3/25/2019
Taber,Buckhurst,96173021118,0,0,124,6/25/2018
Edita,Tankard,39139360022,2,0,954,2/18/2019
Padraic,Zeal,14348092343,2,0,894,2/19/2019
Huntley,Handasyde,31918627159,1,1,412,4/8/2019
Stefan,Stratford,36222215069,0,0,712,6/9/2018
Dania,Drewell,10017572147,1,1,758,3/10/2019
Kelbee,Sabey,31178220009,3,0,597,5/31/2018
Audry,McDoual,40622750399,0,0,992,1/21/2019
Ceil,Wren,62389727619,2,0,491,12/15/2018
Eldon,Albion,49448908293,0,1,900,10/16/2018
Davey,Dickerson,47206130593,1,0,224,5/11/2018
Anne-marie,Bryan,66788558290,1,0,501,12/11/2018
Chicky,Roumier,87207741185,3,1,132,9/14/2018
Horatia,Portal,79726709895,2,1,820,1/16/2019
Mellie,Shailer,88459156345,3,1,886,9/8/2018
Jessie,Roscher,03096891666,0,1,797,5/1/2018
Raffarty,Ghione,77393186737,3,0,454,6/8/2018
Helen,Presswell,27764840122,3,0,154,6/25/2018
Branden,Hayne,94660659097,2,1,336,9/6/2018
Melamie,Izat,28324620377,0,1,955,12/8/2018
Michelina,Threadkell,64508675204,1,1,619,6/2/2018
Jena,Wrist,95438967728,3,0,300,2/7/2019
Elliott,Oriel,42352859989,2,1,761,6/22/2018
Cindra,Thomelin,01408569012,0,0,352,11/14/2018
Dean,Kos,53503476062,2,0,490,2/28/2019
Perrine,Corr,56268454915,0,1,329,3/6/2019
Tudor,Borrington,15665049565,2,1,115,12/4/2018
Zonda,Paulot,34856170118,0,0,297,6/30/2018
Godfrey,Illiston,06520831278,2,0,241,4/19/2019
Reinaldo,Westhead,61009053629,1,1,852,7/23/2018
Sharl,Mathevon,29111017377,2,0,625,3/30/2019
Guthry,Doddridge,83440967508,0,0,141,1/19/2019
Ally,Mapledorum,84099804059,0,0,822,9/25/2018
Jerrie,Cleere,74807471961,3,0,312,12/2/2018
Cati,Polleye,66202534092,0,0,615,3/26/2019
Shaine,O'Mohun,09832898724,2,1,258,9/7/2018
Verena,Laundon,40369173783,3,0,909,4/12/2019
Florella,Bendixen,89108613370,1,0,516,4/10/2019
Daven,Doggrell,30145066147,3,0,273,12/21/2018
Camile,Durning,79335894822,1,0,907,9/27/2018
Meggi,Wedon,12250325636,2,0,227,4/7/2019
Max,Hatherley,10058080726,2,1,612,2/6/2019
Selma,Wille,56191277825,3,0,317,12/20/2018
Basil,Reedie,14446788807,0,1,222,6/30/2018
Marjory,Cash,42088822618,3,1,232,4/12/2019
Ariadne,Crannell,98884249600,0,1,126,12/13/2018
Kerstin,MacAnespie,64622519744,0,1,111,11/30/2018
Tadd,Grzes,17900913843,3,0,488,7/29/2018
Shep,Caunt,97664873178,1,0,371,10/5/2018
Alexandr,Burge,68644480568,1,0,832,7/6/2018
Gianni,Merryweather,53314969953,1,1,313,1/14/2019
