Vina,Guess,58398879363,0,0,1,3,450,5/13/2018
Bethina,Philcox,64526455907,1,1,0,0,421,4/8/2019
Violet,Chittleburgh,38772158310,0,1,0,1,472,1/29/2019
Rodney,Faivre,60103988966,1,0,1,1,493,7/12/2018
Cirstoforo,Stein,08062513633,0,0,1,0,479,10/13/2018
Ferrel,Thorlby,12452320330,1,3,0,2,461,11/14/2018
Therine,Curle,90931036509,1,1,0,1,472,5/28/2018
Blanch,Domleo,85842161642,0,0,0,3,430,2/5/2019
Tabby,Gounod,77698960438,0,2,0,3,433,10/29/2018
Isadore,Brydie,74883667296,1,1,0,4,488,8/28/2018
Stefania,Bullas,36059807479,1,3,1,2,435,12/19/2018
Lucien,Oldcote,09029129791,1,1,1,2,461,7/12/2018
Dewie,Mourant,64124970653,1,1,1,3,482,2/9/2019
Conway,Babcock,08998052313,0,0,1,0,446,3/1/2019
Erma,Dineges,43823758073,0,3,1,2,484,9/27/2018
Van,Corradetti,20362913984,0,3,0,2,431,6/19/2018
Shirleen,Rickson,56653504675,0,0,1,1,441,8/30/2018
Romain,Elph,34199419551,1,2,0,0,433,3/20/2019
Noellyn,Harses,07704339207,1,3,1,3,494,6/8/2018
Genevieve,Dearle,70480901745,0,1,1,1,444,2/25/2019
Dani,Dottridge,13068275877,1,1,1,0,429,9/16/2018
Antoni,Sage,97611309525,1,2,0,0,410,1/4/2019
Kayla,Richards,10277462051,0,2,1,2,444,9/8/2018
Giovanna,Hart,17902334301,0,0,0,2,471,1/20/2019
Sheff,Godspeede,57615934815,1,1,0,3,479,5/28/2018
Ninetta,Clilverd,18658337160,0,3,0,1,438,10/23/2018
Blondell,Eve,84535703717,0,0,1,3,492,5/21/2018
Nils,Keese,02634230815,0,1,1,1,436,5/18/2018
Wash,Dawley,70628834675,1,2,0,2,412,12/28/2018
Chantal,Attride,84557235758,1,2,1,3,470,4/2/2019
Elmer,Dwelly,67281184875,0,2,1,2,473,11/10/2018
Arabela,Bearblock,15822475911,1,3,1,1,474,1/27/2019
Blondy,Bragginton,04720145710,1,2,1,2,451,12/1/2018
Shanan,Tweede,70246203693,0,0,1,1,462,5/1/2019
Chelsie,Gough,64804226060,0,1,1,0,494,12/4/2018
Rad,Ingreda,03112376647,1,3,1,2,432,6/24/2018
Siouxie,Kupisz,82554763179,1,3,0,2,431,5/3/2019
Morry,Livezley,17779360529,1,1,1,2,431,7/28/2018
Syd,Le Clercq,03713061329,1,1,1,0,409,8/29/2018
Tallie,Thoumasson,03499691150,0,3,0,3,469,7/3/2018
Denver,Daly,23998058341,0,3,0,2,427,3/16/2019
Vincents,Dunk,03801832907,1,0,1,2,428,10/20/2018
Jamaal,Whelband,86618549181,0,2,0,4,484,12/28/2018
Imelda,Khidr,37440254766,0,0,0,1,461,7/1/2018
Misti,Perri,63353542420,1,0,1,0,470,4/19/2019
Delmer,Kacheller,44914260448,0,1,0,4,445,10/16/2018
Prudy,Palfery,50703477216,0,1,0,3,449,8/22/2018
Michel,Laviste,82987382031,1,0,1,2,421,4/12/2019
Charin,Bewlay,54519244457,0,0,1,1,486,4/6/2019
Elspeth,Earey,45334298788,1,2,1,3,406,3/24/2019
Rodrigo,Tubby,02204637029,0,1,0,4,489,6/27/2018
Fraser,Callow,32320164307,0,2,0,3,485,10/15/2018
Evangeline,Castaignet,97069402937,1,3,0,1,448,1/20/2019
Derron,Hassin,36399740564,1,3,0,2,413,5/16/2018
Julissa,McGaffey,58141271655,0,3,0,3,477,8/17/2018
Dyane,Henbury,93150604266,0,0,1,0,471,7/5/2018
Carolann,Polley,12485664916,0,3,0,3,481,11/27/2018
Dorthy,Chatres,60504711132,1,1,1,0,489,3/23/2019
Della,Jeanesson,93812514922,0,1,1,2,407,2/5/2019
Vinnie,Shirt,92684707401,1,1,0,2,484,10/19/2018
Bradly,Boughey,83951892331,1,2,1,1,492,9/28/2018
Roxana,Gallemore,97437902179,0,2,0,3,448,10/18/2018
Doe,Whiten,95410102784,0,3,0,2,423,4/12/2019
